r,count,elasticity,reliable,reference,low,high
2775.0,945,1.7249,1,1.9000,1.6432,2.1569
2800.0,952,1.7332,1,1.9000,1.6507,2.1558
2825.0,964,1.7324,1,1.9000,1.6632,2.1579
2850.0,976,1.7418,1,1.9000,1.6580,2.1481
2875.0,993,1.7120,1,1.9000,1.6633,2.1450
2900.0,1005,1.6119,1,1.9000,1.6716,2.1457
2925.0,1019,1.4426,1,1.9000,1.6683,2.1408
2950.0,1043,1.5244,1,1.9000,1.6635,2.1477
2975.0,1059,1.5203,1,1.9000,1.6635,2.1395
3000.0,1071,1.5126,1,1.9000,1.6713,2.1382
